timestamp,timestamp_sample,pub_timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],states[24],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],publisher_id,n_states
1771684924876000,1771684924724000,1771684924876000,0.9999838,6.908151e-05,0.00044619467,0.0056709587,-0.004078414,0.0020236205,0.0074610035,0.0,0.0,0.009747104,2.0418067e-05,-0.0007489435,0.00018870886,0.0017865046,-0.0013852074,-6.33295e-05,0.21505705,0.012902549,0.43046144,6.264834e-06,0.00083558256,-2.3604005e-05,0.0,0.0,0.109747104,0.00036165395,0.00035844286,0.03739995,0.00094609597,0.0009438472,0.0063412124,9.553054e-05,9.5489646e-05,0.17008562,4.392574e-06,4.6687783e-06,1.1330532e-05,0.0325784,0.032793097,0.00073742005,0.0012818372,0.00031373545,0.0012737206,0.0012861398,0.0016181932,0.0012736934,1.0,1.0,0.010000001,160,25
1771684924884000,1771684924732000,1771684924884000,0.9999833,1.9819638e-05,0.00048038084,0.0057491004,-0.004058192,0.001749638,0.007131026,0.0,0.0,0.00980547,2.0392023e-05,-0.0007489496,0.00018652642,0.0017800954,-0.0013854197,-6.3332845e-05,0.21504287,0.012896015,0.43043953,-6.069687e-06,0.00081273343,-4.6335874e-05,0.0,0.0,0.10980547,0.00036166536,0.00035845683,0.03731636,0.00096815056,0.00096586166,0.0063767335,9.930882e-05,9.926497e-05,0.17019424,4.392572e-06,4.668776e-06,1.132785e-05,0.03256714,0.032781422,0.00073742063,0.0012812181,0.00030567817,0.001273115,0.0012855463,0.0016167824,0.0012730877,1.0,1.0,0.010000001,160,25
1771684924892000,1771684924740000,1771684924892000,0.99998313,-7.1857753e-06,0.00046466006,0.0057757096,-0.004022023,0.0016905447,0.0073421462,0.0,0.0,0.009863363,2.0386526e-05,-0.00074895425,0.00018652633,0.001778595,-0.0013828682,-6.333364e-05,0.2150429,0.0128960125,0.4304395,-6.0373723e-06,0.0008126987,-4.63511e-05,0.0,0.0,0.10986336,0.00036167726,0.00035847133,0.03731643,0.0009905754,0.0009881951,0.006412349,0.00010324282,0.00010319453,0.1703039,4.3925697e-06,4.6687733e-06,1.1327914e-05,0.032556128,0.032770228,0.0007374212,0.0012812128,0.00030567817,0.0012731138,0.0012855409,0.0016167803,0.0012730863,1.0,1.0,0.010000001,160,25
1771684924900000,1771684924748000,1771684924900000,0.99998295,-5.636914e-06,0.0004805326,0.0058097257,-0.0039848145,0.0016438131,0.0074670776,0.0,0.0,0.009922599,2.0382306e-05,-0.00074895885,0.00018652626,0.0017770454,-0.0013808479,-6.333434e-05,0.21504293,0.012896011,0.43043947,-6.0037196e-06,0.0008126712,-4.6367168e-05,0.0,0.0,0.1099226,0.00036168966,0.00035848637,0.0373165,0.0010133084,0.0010108344,0.006448059,0.000107329266,0.00010727615,0.17041461,4.392567e-06,4.66877e-06,1.13279775e-05,0.032545123,0.03275904,0.0007374218,0.0012812074,0.00030567817,0.0012731125,0.0012855354,0.0016167782,0.0012730849,1.0,1.0,0.010000001,160,25
1771684924908000,1771684924756000,1771684924908000,0.999983,-4.414205e-06,0.0005009136,0.0057959715,-0.0040721497,0.0017154559,0.007941683,0.0,0.0,0.0099842325,2.0388337e-05,-0.0007489486,0.00018652636,0.0017807203,-0.001383977,-6.333299e-05,0.21504286,0.012896012,0.4304395,-6.0842826e-06,0.0008127137,-4.632813e-05,0.0,0.0,0.109984234,0.00036170258,0.00035850194,0.037316572,0.001036275,0.0010336876,0.0064838636,0.00011157211,0.00011151375,0.1705264,4.3925634e-06,4.6687665e-06,1.1328041e-05,0.032534126,0.03274786,0.0007374224,0.0012812021,0.00030567817,0.0012731112,0.0012855299,0.0016167761,0.0012730835,1.0,1.0,0.010000001,160,25
1771684924916000,1771684924764000,1771684924916000,0.999983,1.4157014e-05,0.00049497944,0.0057971715,-0.004067267,0.0019578657,0.0077410415,0.0,0.0,0.010046966,2.0413576e-05,-0.0007489454,0.00018652673,0.0017803708,-0.0013942847,-6.333107e-05,0.21504287,0.01289603,0.4304395,-6.071824e-06,0.00081285415,-4.6337787e-05,0.0,0.0,0.11004697,0.000361716,0.0003585181,0.037316646,0.001059678,0.0010569709,0.0065197623,0.00011597519,0.000115911156,0.17063926,4.3925593e-06,4.668762e-06,1.1328105e-05,0.032523137,0.03273669,0.00073742296,0.0012811967,0.00030567817,0.0012731099,0.0012855245,0.001616774,0.0012730821,1.0,1.0,0.010000001,160,25
1771684924924000,1771684924772000,1771684924924000,0.999983,1.5705149e-05,0.00049397995,0.0058017676,-0.0041878107,0.0019461303,0.00765543,0.0,0.0,0.010108548,2.0410382e-05,-0.00074893294,0.0001865267,0.0017854689,-0.0013938597,-6.333012e-05,0.21504276,0.012896023,0.43043956,-6.185759e-06,0.00081284816,-4.6280948e-05,0.0,0.0,0.11010855,0.0003617299,0.00035853474,0.037316725,0.0010833439,0.0010805168,0.006555756,0.00012054278,0.00012047262,0.1707532,4.3925547e-06,4.668757e-06,1.13281685e-05,0.032512154,0.032725524,0.00073742354,0.0012811914,0.00030567817,0.0012731086,0.001285519,0.0016167719,0.0012730807,1.0,1.0,0.010000001,160,25
1771684924932000,1771684924780000,1771684924932000,0.9999828,2.845705e-05,0.00047745887,0.0058434205,-0.0043617473,0.0012800448,0.0077080783,0.0,0.0,0.010268525,2.0337633e-05,-0.0007489249,0.00018652565,0.0017932081,-0.0013655713,-6.445209e-05,0.21504256,0.012895963,0.43043968,-6.371252e-06,0.0008124627,-4.6179157e-05,0.0,0.0,0.110268526,0.00036174434,0.00035855194,0.037316803,0.0011072574,0.0011043294,0.0065876367,0.00012527895,0.00012520218,0.16851765,4.3925497e-06,4.6687514e-06,1.1328232e-05,0.03250118,0.03271437,0.00073712156,0.001281186,0.00030567817,0.0012731074,0.0012855135,0.0016167698,0.0012730793,1.0,1.0,0.010000001,160,25
1771684924940000,1771684924788000,1771684924940000,0.9999826,3.2041e-05,0.00044571943,0.0058724475,-0.004416022,0.0009319643,0.007837874,0.0,0.0,0.010330703,2.0300033e-05,-0.0007489245,0.0001865251,0.0017957133,-0.0013507523,-6.445444e-05,0.21504249,0.012895934,0.4304397,-6.4338697e-06,0.00081226096,-4.614303e-05,0.0,0.0,0.1103307,0.00036175927,0.00035856967,0.03731688,0.001131487,0.001128438,0.006623801,0.00013018776,0.00013010392,0.16863215,4.3925443e-06,4.6687455e-06,1.1328296e-05,0.032490212,0.032703225,0.00073712214,0.0012811807,0.00030567817,0.0012731061,0.001285508,0.0016167677,0.0012730779,1.0,1.0,0.010000001,160,25
1771684924948000,1771684924796000,1771684924948000,0.9999826,4.023655e-05,0.0003996961,0.005880377,-0.0044412958,0.0006948782,0.007800048,0.0,0.0,0.010393251,2.027457e-05,-0.0007489255,0.00018652473,0.0017969222,-0.0013406762,-6.4456144e-05,0.21504244,0.012895915,0.4304397,-6.4654137e-06,0.0008121238,-4.6123958e-05,0.0,0.0,0.110393256,0.00036177473,0.00035858795,0.03731696,0.0011560644,0.0011528876,0.006660059,0.0001352734,0.00013518198,0.16874775,4.3925384e-06,4.6687387e-06,1.13283595e-05,0.032479256,0.032692086,0.0007371227,0.0012811753,0.00030567817,0.0012731048,0.0012855026,0.0016167656,0.0012730765,1.0,1.0,0.010000001,160,25
