timestamp,pub_timestamp,command,result_param2,target_component,publisher_id,result,result_param1,target_system,from_external
1771684923396000,1771684923396000,211,0,64,23,0,0,127,0
1771684933864000,0,512,0,190,0,0,0,245,0
1771684933948000,0,512,0,190,0,0,0,245,0
1771684936440000,0,511,0,190,0,0,0,245,0
1771684936444000,1771684936444000,400,0,190,93,0,0,245,0
1771684936464000,0,176,0,190,0,0,0,245,0
1771684936468000,1771684936468000,176,0,190,93,0,0,245,0
1771685026032000,0,176,0,190,0,0,0,245,0
1771685026036000,1771685026036000,176,0,190,93,0,0,245,0
