timestamp,pub_timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],publisher_id,gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
1771684934580000,1771684934580000,1771684934428000,1310988,8.926197e-05,-0.00015826538,1.1638697e-06,0.15,3.2295068e-07,3.1830854e-07,3.254463e-06,1310988,0.0028023524,-0.0029392438,0.0026379032,0.4,0.02809344,0.028157962,9.248563e-05,197388,-8.4692074e-05,0.00085908815,0.00014682363,0.5,0.00085665827,0.0015807737,0.00085062924,160,1,1,1,0,1,0
1771684935580000,1771684935580000,1771684935428000,1310988,4.922921e-05,-0.00017601014,-3.3367003e-05,0.15,2.9273454e-07,2.880337e-07,3.016025e-06,1310988,0.0030988622,-0.0027242973,0.0026246263,0.4,0.028091256,0.028155671,8.3851606e-05,197388,-0.00013801407,0.000999494,-0.00013491896,0.5,0.0008547975,0.0015788475,0.00084881403,160,1,1,1,0,1,0
1771684936580000,1771684936580000,1771684936428000,1310988,1.617189e-05,-0.00020044523,-0.00010555997,0.15,2.6774416e-07,2.633658e-07,2.803602e-06,1310988,0.0032682044,-0.0024339536,0.0026663074,0.4,0.02808991,0.028153237,7.68899e-05,197388,7.10721e-06,0.0012134629,-0.00012603139,0.5,0.00085340784,0.0015771671,0.00084745523,160,1,1,1,0,1,0
1771684937580000,1771684937580000,1771684937428000,1310988,-7.1091554e-06,-0.00023308587,-0.00010072187,0.15,2.472671e-07,2.433308e-07,2.6151142e-06,1310988,0.0032409744,-0.0021310267,0.0025488196,0.4,0.028089227,0.02815134,7.117417e-05,197388,-9.256988e-05,0.0014847285,-3.6510635e-05,0.5,0.0008523774,0.0015751862,0.00084646005,160,1,1,1,0,1,0
1771684938580000,1771684938580000,1771684938428000,1310988,-2.3871802e-05,-0.00026541325,-8.393528e-05,0.15,2.2966195e-07,2.2618687e-07,2.4691278e-06,1310988,0.0032402142,-0.0019645237,0.002536533,0.4,0.028088951,0.028150346,6.613366e-05,197388,1.106795e-05,0.0017697726,-7.420891e-05,0.5,0.00085146655,0.0015730588,0.0008456047,160,1,0,1,0,1,0
1771684939580000,1771684939580000,1771684939428000,1310988,-3.5549965e-05,-0.00029321166,-8.070056e-05,0.15,2.1718996e-07,2.1410449e-07,2.432538e-06,1310988,0.0031738654,-0.0019288387,0.0024830275,0.4,0.028088588,0.028150016,6.2032785e-05,197388,3.5042816e-05,0.0020309978,-5.7465688e-05,0.5,0.0008506953,0.001571347,0.00084491016,160,1,0,1,0,1,0
1771684940580000,1771684940580000,1771684940428000,1310988,-4.7369896e-05,-0.00031227135,-0.000115134455,0.15,2.068631e-07,2.0422873e-07,2.392608e-06,1310988,0.0030917611,-0.0019881118,0.002405856,0.4,0.028085947,0.028148452,5.844501e-05,197388,0.00010178302,0.0020070334,4.7234124e-07,0.5,0.0008500154,0.0015700905,0.00084432756,160,1,0,1,0,1,0
1771684941388000,1771684941388000,1771684941236000,1310988,-4.569457e-05,-0.00031594865,-0.000116736075,0.15,1.9867755e-07,1.9644749e-07,2.3534908e-06,1310988,0.002896418,-0.0020830925,0.0014106336,0.4,0.027834654,0.027932355,5.5750297e-05,197388,1.4927773e-05,0.0021841798,-1.1383641e-05,0.5,0.00084939884,0.0015596617,0.00084383966,160,1,0,1,0,1,0
1771684942012000,1771684942012000,1771684941860000,1310988,-4.479339e-05,-0.00032238537,-0.00014279634,0.15,1.9374588e-07,1.9172721e-07,2.32131e-06,1310988,0.0019150205,-0.0020671678,0.000892234,0.4,0.027449246,0.027552482,5.389226e-05,197388,-4.0523548e-05,0.0022505645,-1.022069e-05,0.5,0.0008488858,0.0015580626,0.0008434977,160,1,0,1,0,1,0
1771684942276000,1771684942276000,1771684942124000,1310988,-4.191022e-05,-0.00032624142,-0.00015525699,0.15,1.9203821e-07,1.9008387e-07,2.3061107e-06,1310988,0.0010792441,-0.0026178367,0.0007892209,0.4,0.027307652,0.027405014,5.3155443e-05,197388,-3.191421e-05,0.0022100226,-5.669733e-05,0.5,0.0008486646,0.0015578057,0.00084336323,160,1,0,1,0,1,0
